Timestep  Iteration  resNorm(0)  
1  1  0.0000000000000000  
1  2  0.0000000000000000  
1  3  0.0000000000000000  
1  4  0.0000000000000000  
1  5  0.0000000000000000  
2  1  0.0000000000000000  
2  2  0.0000000000000000  
2  3  0.0000000000000000  
2  4  0.0000000000000000  
2  5  0.0000000000000000  
3  1  0.0000000000000000  
3  2  0.0000000000000000  
3  3  0.0000000000000000  
3  4  0.0000000000000000  
3  5  0.0000000000000000  
4  1  0.0000000000000000  
4  2  0.0000000000000000  
4  3  0.0000000000000000  
4  4  0.0000000000000000  
4  5  0.0000000000000000  
5  1  0.0000000000000000  
5  2  0.0000000000000000  
5  3  0.0000000000000000  
5  4  0.0000000000000000  
5  5  0.0000000000000000  
